nodeip,nodename,loginmethod,backupperiod,lastbackuptime
192.168.1.83,2918-4fb-3-s203,ssh,,
192.168.1.215,gz-2960-s253-4fc,ssh,,
192.168.1.91,2918-4fc-1-s210,ssh,,
192.168.1.92,2918-4fc-2-s211,ssh,,
192.168.1.93,2918-4fc-3-s212,ssh,,
192.168.1.94,2918-4fc-4-s213,ssh,,
192.168.1.95,2918-4fc-5-s214,ssh,,
192.168.1.32,2918-4fc-6-s378,ssh,,
192.168.1.86,2918-5fa-1-s205,ssh,,
192.168.1.87,2918-5fa-2-s206,ssh,,
192.168.1.88,2918-5fa-3-s207,ssh,,
192.168.1.89,2918-5fa-4-s208,ssh,,
192.168.1.90,2918-5fa-5-s209,ssh,,
192.168.97.5,bj-wlc-2125,ssh,0,
192.168.197.5,sh-wlc-2504,ssh,0,
192.168.1.7,gz-UTM-G3150-1,ssh,0,
192.168.1.8,gz-UTM-G3150-2,ssh,0,
192.168.97.7,bj-UTM-M6110,ssh,0,
192.168.197.7,sh-UTM-M6110,ssh,0,
192.168.231.3,lt-AX2100-1,ssh,1,
192.168.224.4,lt-AX2100-2,ssh,1,
192.168.232.11,ct-DefensePro-1,ssh,1,
192.168.232.12,ct-DefensePro-2,ssh,1,
192.168.224.11,lt-DefensePro-3,ssh,1,
192.168.232.3,ct-MPX-12500-1,ssh,0,
192.168.232.4,ct-MPX-12500-2,ssh,0,
192.168.225.241,lt-a2424-kxc,telnet,1,
192.168.237.125,ct-3dns-1,ssh,1,
192.168.230.75,lt-3dns-2,ssh,1,
192.168.160.241,yd-a2424-1,telnet,1,
